id,alimento,porcao,calcioMg
"1",Seus Dados,true,0
"2",formPaciente,true,
"3",Medicamento,true,0
"4",Cálcio,Comprimido 500 mg (ou equivalente),500
"5",Leites,true,0
"6",Leite fresco / Longa vida / Ninho,Copo de 200 mL,238
"7",MOLICO Total Cálcio® (Nestlé),2 colheres (sopa) = 20g,500
"8",MOLICO Zero Lactose® (Nestlé),3 colheres (sopa) = 20g,500
"9",Leite MOLICO® TotalCálcio UHT (Nestlé),1 copo = 200mL,334
"10",Ninho Forti+ zero lactose (Nestlé),2 colheres (sopa) = 26g,191
"11",Ninho Forti+ Integral (Nestlé),3 colheres (sopa) = 26g,246
"12",Ninho Forti+ Levinho (Nestlé),4 colheres (sopa) = 26g,316
"13",Leite Líquido NINHO Forti+ Integral UHT (Nestlé),1 copo = 200mL,238
"14",Leite Líquido NINHO Forti+ Levinho UHT (Nestlé),2 copo = 200mL,238
"15",Leite Líquido NINHO Forti+ Zero Lactose UHT (Nestlé),3 copo = 200mL,238
"16",NINHO® Fases 1+ (Nestlé),7 colheres de medida = 32g,320
"17",NINHO® Fases 3+ (Nestlé),8 colheres de medida = 32g,416
"18",Leite Fazenda - Leite A integral,1 copo = 200mL,214
"19",Leite Fazenda - semidesnatado,1 copo = 200mL,220
"20",Leite Fazenda - desnatado,1 copo = 200mL,224
"21",Leite Itambé integral,1 copo = 200mL,230
"22",Leite Itambé semidesnatado,1 copo = 200mL,240
"23",Leite Itambé desnatado,1 copo = 200mL,260
"24",Leite Premium Cálcio Itambé,1 copo = 200mL,300
"25",Leite Itambé Dez Vitaminas,1 copo = 200mL,300
"26",Leite Itambé Zero lactose integral,1 copo = 200mL,230
"27",Leite Itambé Ferro,1 copo = 200mL,230
"28",Leite Itambé Zero lactose desnatado,1 copo = 200mL,260
"29",Leite C Pasteirizado Itambé ,1 copo = 200mL,230
"30",Leite Parmalat integral,1 copo = 200mL,300
"31",Leite Parmalat desnatado,1 copo = 200mL,300
"32",Leite Parmalat semidesnatado,1 copo = 200mL,300
