alimento,porcao,calcioMg
Leite fresco / Longa vida / Ninho,Copo de 200 mL,238
MOLICO Total Cálcio® (Nestlé),2 colheres (sopa) = 20g,500
MOLICO Zero Lactose® (Nestlé),3 colheres (sopa) = 20g,500
Leite MOLICO® TotalCálcio UHT (Nestlé),1 copo = 200mL,334
Ninho Forti+ zero lactose (Nestlé),2 colheres (sopa) = 26g,191
Ninho Forti+ Integral (Nestlé),3 colheres (sopa) = 26g,246
Ninho Forti+ Levinho (Nestlé),4 colheres (sopa) = 26g,316
Leite Líquido NINHO Forti+ Integral UHT (Nestlé),1 copo = 200mL,238
Leite Líquido NINHO Forti+ Levinho UHT (Nestlé),2 copo = 200mL,238
Leite Líquido NINHO Forti+ Zero Lactose UHT (Nestlé),3 copo = 200mL,238
 NINHO® Fases 1+ (Nestlé),7 colheres de medida = 32g,320
 NINHO® Fases 3+ (Nestlé),8 colheres de medida = 32g,416
Leite Fazenda - Leite A integral,1 copo = 200mL,214
Leite Fazenda - semidesnatado,1 copo = 200mL,220
Leite Fazenda - desnatado,1 copo = 200mL,224
Leite Itambé integral,1 copo = 200mL,230
Leite Itambé semidesnatado,1 copo = 200mL,240
Leite Itambé desnatado,1 copo = 200mL,260
Leite Premium Cálcio Itambé,1 copo = 200mL,300
Leite Itambé Dez Vitaminas,1 copo = 200mL,300
Leite Itambé Zero lactose integral,1 copo = 200mL,230
Leite Itambé Ferro,1 copo = 200mL,230
Leite Itambé Zero lactose desnatado,1 copo = 200mL,260
Leite C Pasteirizado Itambé ,1 copo = 200mL,230
Leite Parmalat integral,1 copo = 200mL,300
Leite Parmalat desnatado,1 copo = 200mL,300
Leite Parmalat semidesnatado,1 copo = 200mL,300
Leite Zymil Parmalat zero lactose,1 copo = 200mL,240
Leite Mococa Integral,1 copo = 200mL,230
Leite Mococa Semidesnatado,1 copo = 200mL,230
Leite Mococa Desnatado,1 copo = 200mL,230
Leite Mococa Zero lactose,1 copo = 200mL,250
Leite Piracanjuba integral,1 copo = 200mL,240
Leite Piracanjuba semidesnatado,1 copo = 200mL,243
Leite Piracanjuba desnatado,1 copo = 200mL,244
Leite Piracanjuba + cálcio,1 copo = 200mL,500
Leite Piracanjuba desnatado + fibras,1 copo = 200mL,240
